loan_amnt,term,int_rate,emp_length,home_ownership,annual_inc,loan_status,dti,delinq_2yrs,open_acc,pub_rec_bankruptcies
5000.0,36,10.65,10.0,1,24000.0,1,27.65,0.0,3.0,0.0
2500.0,60,15.27,0.0,1,30000.0,0,1.0,0.0,3.0,0.0
2400.0,36,15.96,10.0,1,12252.0,1,8.72,0.0,2.0,0.0
10000.0,36,13.49,10.0,1,49200.0,1,20.0,0.0,10.0,0.0
3000.0,60,12.69,1.0,1,80000.0,1,17.94,0.0,15.0,0.0
5000.0,36,7.9,3.0,1,36000.0,1,11.2,0.0,9.0,0.0
7000.0,60,15.96,8.0,1,47004.0,1,23.51,0.0,7.0,0.0
3000.0,36,18.64,9.0,1,48000.0,1,5.35,0.0,4.0,0.0
5600.0,60,21.28,4.0,3,40000.0,0,5.55,0.0,11.0,0.0
5375.0,60,12.69,0.0,1,15000.0,0,18.08,0.0,2.0,0.0
6500.0,60,14.65,5.0,3,72000.0,1,16.12,0.0,14.0,0.0
12000.0,36,12.69,10.0,3,75000.0,1,10.78,0.0,12.0,0.0
9000.0,36,13.49,0.0,1,30000.0,0,10.08,0.0,4.0,0.0
3000.0,36,9.91,3.0,1,15000.0,1,12.56,0.0,11.0,0.0
10000.0,36,10.65,3.0,1,100000.0,0,7.06,0.0,14.0,0.0
1000.0,36,16.29,0.0,1,28000.0,1,20.31,0.0,11.0,0.0
10000.0,36,15.27,4.0,1,42000.0,1,18.6,0.0,14.0,0.0
3600.0,36,6.03,10.0,2,110000.0,1,10.52,0.0,20.0,0.0
6000.0,36,11.71,1.0,2,84000.0,1,18.44,2.0,4.0,0.0
9200.0,36,6.03,6.0,1,77385.19,1,9.86,0.0,8.0,0.0
20250.0,60,15.27,3.0,1,43370.0,1,26.53,0.0,8.0,0.0
21000.0,36,12.42,10.0,1,105000.0,0,13.22,0.0,7.0,0.0
10000.0,36,11.71,10.0,3,50000.0,1,11.18,0.0,8.0,0.0
10000.0,36,11.71,5.0,1,50000.0,1,16.01,0.0,6.0,0.0
6000.0,36,11.71,1.0,1,76000.0,0,2.4,0.0,7.0,0.0
15000.0,36,9.91,2.0,2,92000.0,1,29.44,0.0,8.0,0.0
15000.0,36,14.27,9.0,1,60000.0,0,15.22,0.0,7.0,0.0
